Season,Home,Prediction,Away,Result
1112,Chelsea,2-1,Blackburn,2-1
1112,Everton,1-1,Newcastle,3-1
1112,Man City,2-0,QPR,3-2
1112,Norwich,2-0,Aston Villa,2-0
1112,Stoke,1-1,Bolton,2-2
1112,Sunderland,0-2,Man Utd,0-1
1112,Swansea,1-2,Liverpool,1-0
1112,Tottenham,2-0,Fulham,2-0
1112,West Brom,1-2,Arsenal,2-3
1112,Wigan,2-0,Wolves,3-2
1112,Arsenal,2-0,Norwich,3-3
1112,Newcastle,1-2,Man City,0-2
1112,Aston Villa,0-2,Tottenham,1-1
1112,Bolton,1-1,West Brom,2-2
1112,Fulham,2-1,Sunderland,2-1
1112,QPR,2-1,Stoke,1-0
1112,Wolves,0-2,Everton,0-0
1112,Man Utd,3-0,Swansea,2-0
1112,Blackburn,2-0,Wigan,0-1
1112,Liverpool,1-1,Chelsea,4-1
1112,Everton,2-0,Fulham,4-0
1112,Stoke,1-1,Arsenal,1-1
1112,Sunderland,2-1,Bolton,2-2
1112,Swansea,2-0,Wolves,4-4
1112,West Brom,2-0,Aston Villa,0-0
1112,Wigan,1-2,Newcastle,4-0
1112,Norwich,1-1,Liverpool,0-3
1112,Chelsea,1-1,QPR,6-1
1112,Tottenham,2-0,Blackburn,2-0
1112,Man City,1-1,Man Utd,1-0
1112,Arsenal,1-1,Chelsea,0-0
1112,Aston Villa,2-1,Sunderland,0-0
1112,Blackburn,2-0,Norwich,2-0
1112,Bolton,2-1,Swansea,1-1
1112,Fulham,1-1,Wigan,2-1
1112,Newcastle,2-0,Stoke,3-0
1112,QPR,1-1,Tottenham,1-0
1112,Man Utd,2-0,Everton,4-4
1112,Liverpool,2-0,West Brom,0-1
1112,Wolves,0-2,Man City,0-2
1112,Norwich,1-2,Man City,1-5
1112,Sunderland,2-0,Wolves,0-0
1112,Swansea,1-1,Blackburn,3-0
1112,West Brom,1-1,QPR,1-0
1112,Man Utd,3-0,Aston Villa,4-0
1112,Arsenal,2-0,Wigan,1-2
1112,Everton,2-1,Sunderland,4-0
1112,Newcastle,2-0,Bolton,2-0
1112,Tottenham,3-0,Norwich,1-2
1112,Aston Villa,2-1,Stoke,1-1
1112,Fulham,1-1,Chelsea,1-1
1112,Blackburn,1-1,Liverpool,2-3
1112,Man City,2-0,West Brom,4-0
1112,Wigan,0-2,Man Utd,1-0
1112,Wolves,0-2,Arsenal,0-3
1112,QPR,2-1,Swansea,3-0
1112,Swansea,1-1,Newcastle,0-2
1112,Sunderland,0-2,Tottenham,0-0
1112,Bolton,2-0,Fulham,0-3
1112,Chelsea,2-0,Wigan,2-1
1112,Liverpool,2-0,Aston Villa,1-1
1112,Norwich,1-1,Everton,2-2
1112,West Brom,2-1,Blackburn,3-0
1112,Stoke,2-0,Wolves,2-1
1112,Man Utd,3-0,QPR,2-0
1112,Arsenal,2-1,Man City,1-0
1112,Aston Villa,0-2,Chelsea,2-4
1112,Everton,2-0,West Brom,2-0
1112,Fulham,2-1,Norwich,2-1
1112,Man City,2-0,Sunderland,3-3
1112,QPR,0-3,Arsenal,2-1
1112,Wigan,1-1,Stoke,2-0
1112,Wolves,2-0,Bolton,2-3
1112,Newcastle,1-1,Liverpool,2-0
1112,Tottenham,2-0,Swansea,3-1
1112,Blackburn,0-2,Man Utd,0-2
1112,Chelsea,1-2,Tottenham,0-0
1112,Arsenal,2-0,Aston Villa,3-0
1112,Bolton,1-1,Blackburn,2-1
1112,Liverpool,2-0,Wigan,1-2
1112,Norwich,2-1,Wolves,2-1
1112,Sunderland,1-1,QPR,3-1
1112,Swansea,2-0,Everton,0-2
1112,Stoke,0-2,Man City,1-1
1112,West Brom,2-1,Newcastle,1-3
1112,Man Utd,3-0,Fulham,1-0
1112,Fulham,2-0,Swansea,0-3
1112,Wigan,1-1,West Brom,1-1
1112,Wolves,0-2,Man Utd,0-5
1112,Newcastle,2-0,Norwich,1-0
1112,Bolton,1-1,QPR,2-1
1112,Aston Villa,1-2,Fulham,1-0
1112,Chelsea,2-0,Stoke,1-0
1112,Sunderland,1-1,Liverpool,1-0
1112,Wolves,1-2,Blackburn,0-2
1112,Everton,2-1,Tottenham,1-0
1112,Man Utd,2-0,West Brom,2-0
1112,Swansea,0-2,Man City,1-0
1112,Norwich,2-1,Wigan,1-1
1112,Arsenal,2-1,Newcastle,2-1
1112,Liverpool,1-1,Arsenal,1-2
1112,Blackburn,2-0,Aston Villa,1-1
1112,Man City,3-0,Bolton,2-0
1112,QPR,2-1,Everton,1-1
1112,Stoke,2-1,Norwich,1-0
1112,West Brom,1-1,Chelsea,1-0
1112,Wigan,2-1,Swansea,0-2
1112,Newcastle,2-1,Sunderland,1-1
1112,Fulham,2-1,Wolves,5-0
1112,Tottenham,1-2,Man Utd,1-3
1112,Chelsea,2-0,Bolton,3-0
1112,Newcastle,2-0,Wolves,2-2
1112,QPR,2-1,Fulham,0-1
1112,West Brom,1-1,Sunderland,4-0
1112,Wigan,1-1,Aston Villa,0-0
1112,Man City,3-1,Blackburn,3-0
1112,Arsenal,1-1,Tottenham,5-2
1112,Norwich,0-2,Man Utd,1-2
1112,Stoke,2-1,Swansea,2-0
1112,Man Utd,1-1,Liverpool,2-1
1112,Blackburn,2-1,QPR,3-2
1112,Bolton,2-0,Wigan,1-2
1112,Everton,1-1,Chelsea,2-0
1112,Fulham,0-1,Stoke,2-1
1112,Sunderland,1-2,Arsenal,1-2
1112,Swansea,2-2,Norwich,2-3
1112,Tottenham,2-0,Newcastle,5-0
1112,Wolves,2-0,West Brom,1-5
1112,Aston Villa,1-2,Man City,0-1
1112,Arsenal,2-0,Blackburn,7-1
1112,Norwich,1-1,Bolton,2-0
1112,QPR,2-0,Wolves,1-2
1112,Stoke,2-1,Sunderland,0-1
1112,West Brom,2-1,Swansea,1-2
1112,Wigan,1-1,Everton,1-1
1112,Man City,3-0,Fulham,3-0
1112,Newcastle,2-0,Aston Villa,2-1
1112,Chelsea,1-1,Man Utd,3-3
1112,Liverpool,1-1,Tottenham,0-0
1112,Swansea,1-2,Chelsea,1-1
1112,Tottenham,2-0,Wigan,3-1
1112,Wolves,1-1,Liverpool,0-3
1112,Everton,0-2,Man City,1-0
1112,Man Utd,3-0,Stoke,2-0
1112,Aston Villa,2-1,QPR,2-2
1112,Blackburn,1-1,Newcastle,0-2
1112,Bolton,0-2,Arsenal,0-0
1112,Fulham,2-1,West Brom,1-1
1112,Sunderland,2-1,Norwich,3-0
1112,Norwich,1-1,Chelsea,0-0
1112,Everton,2-0,Blackburn,1-1
1112,Fulham,1-1,Newcastle,5-2
1112,QPR,2-1,Wigan,3-1
1112,Stoke,2-0,West Brom,1-2
1112,Sunderland,2-0,Swansea,2-0
1112,Wolves,2-1,Aston Villa,2-3
1112,Bolton,0-2,Liverpool,3-1
1112,Man City,1-0,Tottenham,3-2
1112,Arsenal,0-0,Man Utd,1-2
1112,Aston Villa,2-1,Everton,1-1
1112,Blackburn,2-1,Fulham,3-1
1112,Chelsea,2-1,Sunderland,1-0
1112,Liverpool,2-0,Stoke,0-0
1112,Man Utd,2-0,Bolton,3-0
1112,Tottenham,2-1,Wolves,1-1
1112,West Brom,2-0,Norwich,1-2
1112,Newcastle,1-1,QPR,1-0
1112,Swansea,1-1,Arsenal,3-2
1112,Wigan,0-2,Man City,0-1
1112,Aston Villa,2-0,Swansea,0-2
1112,Blackburn,2-1,Stoke,1-2
1112,QPR,2-0,Norwich,1-2
1112,Wolves,1-1,Chelsea,1-2
1112,Fulham,1-2,Arsenal,2-1
1112,Tottenham,2-0,West Brom,1-0
1112,Wigan,1-1,Sunderland,1-4
1112,Man City,0-0,Liverpool,3-0
1112,Everton,2-0,Bolton,1-2
1112,Newcastle,1-1,Man Utd,3-0
1112,Liverpool,2-0,Newcastle,3-1
1112,Man Utd,2-0,Blackburn,2-3
1112,Arsenal,3-0,QPR,1-0
1112,Bolton,1-1,Wolves,1-1
1112,Chelsea,2-0,Aston Villa,1-3
1112,Norwich,1-1,Fulham,1-1
1112,Stoke,2-0,Wigan,2-2
1112,Swansea,0-2,Tottenham,1-1
1112,West Brom,1-2,Everton,0-1
1112,Sunderland,1-2,Man City,1-0
1112,Chelsea,2-0,Fulham,1-1
1112,Bolton,1-1,Newcastle,0-2
1112,Liverpool,2-0,Blackburn,1-1
1112,Man Utd,2-0,Wigan,5-0
1112,Sunderland,1-1,Everton,1-1
1112,West Brom,1-2,Man City,0-0
1112,Stoke,2-1,Aston Villa,0-0
1112,Arsenal,2-0,Wolves,1-1
1112,Swansea,2-0,QPR,1-1
1112,Norwich,1-2,Tottenham,0-2
1112,Wolves,2-1,Norwich,2-2
1112,Blackburn,2-1,Bolton,1-2
1112,Aston Villa,0-2,Arsenal,1-2
1112,Man City,2-0,Stoke,3-0
1112,Newcastle,2-1,West Brom,2-3
1112,Everton,2-0,Swansea,1-0
1112,Fulham,0-2,Man Utd,0-5
1112,QPR,1-1,Sunderland,2-3
1112,Wigan,1-2,Liverpool,0-0
1112,Tottenham,1-1,Chelsea,1-1
1112,Blackburn,2-1,West Brom,1-2
1112,Everton,2-0,Norwich,1-1
1112,Fulham,2-1,Bolton,2-0
1112,Newcastle,1-1,Swansea,0-0
1112,Wolves,2-1,Stoke,1-2
1112,Wigan,0-3,Chelsea,1-1
1112,QPR,0-2,Man Utd,0-2
1112,Aston Villa,1-1,Liverpool,0-2
1112,Tottenham,2-0,Sunderland,1-0
1112,Man City,2-0,Arsenal,1-0
1112,Arsenal,2-0,Everton,1-0
1112,Bolton,1-1,Aston Villa,1-2
1112,Liverpool,2-0,QPR,1-0
1112,Man Utd,2-0,Wolves,4-1
1112,Norwich,2-1,Newcastle,4-2
1112,Swansea,2-1,Fulham,2-0
1112,West Brom,2-0,Wigan,1-2
1112,Sunderland,2-1,Blackburn,2-1
1112,Stoke,1-1,Tottenham,2-1
1112,Chelsea,1-1,Man City,2-1
1112,Newcastle,1-1,Chelsea,0-3
1112,Blackburn,2-0,Swansea,4-2
1112,Man City,3-0,Norwich,5-1
1112,QPR,1-1,West Brom,1-1
1112,Tottenham,3-1,Bolton,3-0
1112,Wigan,0-2,Arsenal,0-4
1112,Aston Villa,1-2,Man Utd,0-1
1112,Everton,2-1,Stoke,0-1
1112,Wolves,2-1,Sunderland,2-1
1112,Fulham,1-1,Liverpool,1-0
1112,Stoke,2-1,Blackburn,3-1
1112,Bolton,1-1,Everton,0-2
1112,Chelsea,2-0,Wolves,3-0
1112,Man Utd,2-0,Newcastle,1-1
1112,Norwich,2-1,QPR,2-1
1112,Sunderland,2-1,Wigan,1-2
1112,West Brom,1-1,Tottenham,1-3
1112,Arsenal,2-0,Fulham,1-1
1112,Swansea,2-1,Aston Villa,0-0
1112,Liverpool,1-1,Man City,1-1
1112,Norwich,1-2,Arsenal,1-2
1112,Everton,2-0,Wolves,2-1
1112,Man City,2-0,Newcastle,3-1
1112,Stoke,2-0,QPR,2-3
1112,Sunderland,2-1,Fulham,0-0
1112,West Brom,1-1,Bolton,2-1
1112,Wigan,2-1,Blackburn,3-3
1112,Swansea,0-2,Man Utd,0-1
1112,Chelsea,2-1,Liverpool,1-2
1112,Tottenham,2-0,Aston Villa,2-0
1112,Newcastle,1-2,Everton,2-1
1112,Arsenal,2-0,West Brom,3-0
1112,Aston Villa,2-1,Norwich,3-2
1112,Blackburn,1-1,Chelsea,0-1
1112,Liverpool,3-0,Swansea,0-0
1112,Man Utd,2-0,Sunderland,1-0
1112,QPR,0-2,Man City,2-3
1112,Wolves,2-1,Wigan,3-1
1112,Bolton,1-1,Stoke,5-0
1112,Fulham,1-2,Tottenham,1-3
1112,Everton,1-2,Man Utd,0-1
1112,Chelsea,2-0,Arsenal,3-5
1112,Man City,3-1,Wolves,3-1
1112,Norwich,1-1,Blackburn,3-3
1112,Sunderland,2-1,Aston Villa,2-2
1112,Swansea,2-1,Bolton,3-1
1112,Wigan,2-0,Fulham,0-2
1112,West Brom,1-2,Liverpool,0-2
1112,Tottenham,3-0,QPR,3-1
1112,Stoke,2-0,Newcastle,1-3
1112,Wolves,2-1,Swansea,2-2
1112,Aston Villa,1-1,West Brom,1-2
1112,Bolton,2-1,Sunderland,0-2
1112,Newcastle,2-0,Wigan,1-0
1112,Liverpool,2-0,Norwich,1-1
1112,Arsenal,2-0,Stoke,3-1
1112,Fulham,1-1,Everton,1-3
1112,Man Utd,1-1,Man City,1-6
1112,Blackburn,1-2,Tottenham,1-2
1112,QPR,0-2,Chelsea,1-0
1112,Liverpool,1-1,Man Utd,1-1
1112,Man City,2-0,Aston Villa,4-1
1112,Norwich,2-1,Swansea,3-1
1112,QPR,2-1,Blackburn,1-1
1112,Stoke,1-1,Fulham,2-0
1112,Wigan,2-0,Bolton,1-3
1112,Chelsea,2-0,Everton,3-1
1112,West Brom,1-1,Wolves,2-0
1112,Arsenal,2-0,Sunderland,2-1
1112,Newcastle,0-2,Tottenham,2-2
1112,Everton,1-1,Liverpool,0-2
1112,Aston Villa,2-0,Wigan,2-0
1112,Blackburn,0-2,Man City,0-4
1112,Man Utd,3-0,Norwich,2-0
1112,Sunderland,1-1,West Brom,2-2
1112,Wolves,2-1,Newcastle,1-2
1112,Bolton,0-2,Chelsea,1-5
1112,Fulham,2-0,QPR,6-0
1112,Swansea,1-2,Stoke,2-0
1112,Tottenham,2-0,Arsenal,2-1
1112,Man City,2-0,Everton,2-0
1112,Arsenal,2-1,Bolton,3-0
1112,Chelsea,3-0,Swansea,4-1
1112,Liverpool,2-0,Wolves,2-1
1112,Newcastle,2-1,Blackburn,3-1
1112,West Brom,1-1,Fulham,0-0
1112,Wigan,0-2,Tottenham,1-2
1112,Stoke,1-2,Man Utd,1-1
1112,QPR,1-1,Aston Villa,1-1
1112,Norwich,2-2,Sunderland,2-1
1112,Blackburn,1-1,Arsenal,4-3
1112,Aston Villa,2-0,Newcastle,1-1
1112,Bolton,2-1,Norwich,1-2
1112,Everton,2-0,Wigan,3-1
1112,Swansea,1-1,West Brom,3-0
1112,Wolves,2-1,QPR,0-3
1112,Tottenham,1-1,Liverpool,4-0
1112,Sunderland,2-1,Stoke,4-0
1112,Fulham,0-2,Man City,2-2
1112,Man Utd,2-1,Chelsea,3-1
1112,Arsenal,2-0,Swansea,1-0
1112,Everton,2-1,Aston Villa,2-2
1112,Man City,3-0,Wigan,3-0
1112,Stoke,1-1,Liverpool,1-0
1112,Sunderland,1-1,Chelsea,1-2
1112,Wolves,2-1,Tottenham,0-2
1112,Bolton,1-2,Man Utd,0-5
1112,Norwich,2-1,West Brom,0-1
1112,Fulham,2-0,Blackburn,1-1
1112,QPR,2-1,Newcastle,0-0
1112,Aston Villa,1-1,Wolves,0-0
1112,Wigan,2-1,QPR,2-0
1112,Blackburn,1-2,Everton,0-1
1112,Chelsea,3-0,Norwich,3-1
1112,Swansea,1-2,Sunderland,0-0
1112,Liverpool,2-0,Bolton,3-1
1112,Newcastle,1-0,Fulham,2-1
1112,Tottenham,1-1,Man City,1-5
1112,West Brom,2-1,Stoke,0-1
1112,Man Utd,2-1,Arsenal,8-2
1112,Sunderland,1-1,Newcastle,0-1
1112,Arsenal,1-1,Liverpool,0-2
1112,Aston Villa,2-0,Blackburn,3-1
1112,Everton,2-0,QPR,0-1
1112,Swansea,2-1,Wigan,0-0
1112,Chelsea,2-0,West Brom,2-1
1112,Norwich,2-1,Stoke,1-1
1112,Wolves,2-1,Fulham,2-0
1112,Bolton,1-2,Man City,2-3
1112,Man Utd,2-1,Tottenham,3-0
1112,Blackburn,1-1,Wolves,1-2
1112,Fulham,2-1,Aston Villa,0-0
1112,Liverpool,2-0,Sunderland,1-1
1112,QPR,2-1,Bolton,0-4
1112,Tottenham,1-1,Everton,2-0
1112,Wigan,2-0,Norwich,1-1
1112,Newcastle,1-2,Arsenal,0-0
1112,Stoke,1-1,Chelsea,0-0
1112,West Brom,1-2,Man Utd,1-2
1112,Man City,2-0,Swansea,4-0
1213,Chelsea,2-1,Everton,2-1
1213,Liverpool,2-0,QPR,1-0
1213,Man City,3-0,Norwich,2-3
1213,Newcastle,1-2,Arsenal,0-1
1213,Southampton,1-1,Stoke,1-1
1213,Swansea,2-0,Fulham,0-3
1213,Tottenham,3-0,Sunderland,1-0
1213,West Brom,0-2,Man Utd,5-5
1213,West Ham,2-0,Reading,4-2
1213,Wigan,1-1,Aston Villa,2-2
1213,Aston Villa,1-2,Chelsea,1-2
1213,Stoke,1-1,Tottenham,1-2
1213,Everton,2-1,West Ham,2-0
1213,Fulham,2-1,Liverpool,1-3
1213,Norwich,2-0,West Brom,4-0
1213,QPR,1-2,Newcastle,1-2
1213,Sunderland,1-1,Southampton,1-1
1213,Man Utd,2-0,Swansea,2-1
1213,Fulham,2-0,Reading,2-4
1213,Norwich,1-1,Aston Villa,1-2
1213,Swansea,1-1,Man City,0-0
1213,Tottenham,2-0,Southampton,1-0
1213,West Brom,2-1,Wigan,2-3
1213,West Ham,2-0,Newcastle,0-0
1213,QPR,0-2,Arsenal,0-1
1213,Liverpool,2-1,Everton,0-0
1213,Man Utd,1-1,Chelsea,0-1
1213,Sunderland,2-1,Stoke,1-1
1213,Man City,3-0,West Ham,2-1
1213,Everton,2-0,Fulham,1-0
1213,Southampton,2-1,West Brom,0-3
1213,Stoke,2-0,Norwich,1-0
1213,Wigan,1-2,Tottenham,2-2
1213,Newcastle,2-0,Liverpool,0-6
1213,Reading,1-2,QPR,0-0
1213,Chelsea,2-0,Swansea,2-0
1213,Arsenal,1-1,Man Utd,1-1
1213,Aston Villa,1-1,Sunderland,6-1
1213,Fulham,1-2,Arsenal,0-1
1213,Norwich,2-0,Reading,2-1
1213,QPR,1-1,Stoke,0-2
1213,Sunderland,1-1,Everton,1-0
1213,Swansea,2-1,Southampton,0-0
1213,West Brom,2-0,Newcastle,1-1
1213,West Ham,2-0,Wigan,2-0
1213,Tottenham,1-2,Man City,3-1
1213,Liverpool,2-1,Chelsea,2-2
1213,Man Utd,3-0,Aston Villa,3-0
1213,Arsenal,3-0,Norwich,3-1
1213,Aston Villa,2-1,Fulham,1-1
1213,Everton,2-0,QPR,2-0
1213,Reading,0-2,Liverpool,0-0
1213,Southampton,2-1,West Ham,1-1
1213,Newcastle,1-1,Sunderland,0-3
1213,Stoke,0-2,Man Utd,0-2
1213,Reading,2-1,Southampton,0-2
1213,Norwich,2-1,Swansea,2-2
1213,Stoke,2-0,Aston Villa,1-3
1213,West Brom,1-2,Arsenal,1-2
1213,Liverpool,2-0,West Ham,0-0
1213,Tottenham,1-1,Everton,2-2
1213,Chelsea,2-0,Sunderland,2-1
1213,Newcastle,2-0,Fulham,1-0
1213,QPR,1-1,Wigan,1-1
1213,Man Utd,1-1,Man City,1-2
1213,Sunderland,1-1,Man Utd,0-1
1213,Arsenal,2-0,Reading,4-1
1213,Man City,2-0,Newcastle,4-0
1213,Southampton,1-2,Chelsea,2-1
1213,Swansea,1-1,Tottenham,1-2
