atga_last_6,atgf_last_6,atsa_last_6,atsf_last_6,atsta_last_6,atstf_last_6,htga_last_6,htgf_last_6,htsa_last_6,htsf_last_6,htsta_last_6,htstf_last_6,FTR
9,9,57,72,32,34,10,3,94,46,54,22,A
10,6,68,88,33,43,9,6,84,50,42,22,A
8,12,49,98,22,57,9,7,72,76,29,33,D
10,6,84,63,43,25,9,11,67,64,36,35,D
9,7,66,80,31,41,4,17,56,95,31,48,D
11,11,72,59,35,39,6,7,75,66,31,33,A
13,10,59,65,37,33,7,8,73,77,33,31,D
11,10,69,66,37,42,1,6,62,58,37,31,D
10,3,84,57,48,26,6,7,60,88,25,48,D
10,8,74,57,40,30,7,8,65,65,34,32,A
5,7,60,69,24,32,9,10,60,64,28,31,A
13,11,67,61,37,32,6,7,62,58,32,32,H
7,7,62,78,27,34,10,11,62,63,33,39,A
9,5,80,53,43,21,11,8,76,46,36,27,D
6,5,65,75,30,30,6,7,69,77,32,37,H
10,11,72,59,37,31,10,6,65,76,31,36,H
7,18,60,87,30,44,8,13,58,94,26,54,H
2,7,66,63,37,31,11,6,81,63,42,26,D
11,2,84,54,48,29,8,6,66,58,33,28,H
8,9,63,73,30,35,7,4,74,65,34,27,H
7,17,54,85,27,42,2,6,60,67,30,31,A
10,10,73,50,34,31,9,9,67,74,31,36,H
8,8,65,69,34,36,13,8,63,57,36,34,D
9,7,67,74,31,31,10,5,80,56,47,22,H
7,11,68,65,34,36,8,12,64,84,26,47,H
6,8,65,85,29,42,6,9,54,74,24,33,D
11,11,66,62,30,29,14,10,70,62,40,33,A
3,5,59,75,26,37,10,10,79,52,44,29,A
5,8,65,82,25,48,5,7,68,75,32,36,A
16,8,74,61,42,29,9,8,52,68,30,34,H
9,10,62,80,31,35,5,18,47,93,23,42,H
12,7,63,52,36,28,4,6,57,75,26,39,A
10,5,70,47,47,19,8,8,67,73,32,30,H
11,10,78,45,41,23,8,8,77,53,35,35,H
7,9,52,71,23,36,13,2,84,56,50,27,A
5,6,68,64,31,27,8,12,58,69,23,36,H
6,5,71,72,31,35,7,10,73,61,37,30,D
6,7,67,57,27,33,6,6,63,62,33,33,A
14,6,90,37,60,19,5,4,72,62,26,31,H
5,7,80,60,32,34,4,8,64,82,23,48,H
7,8,74,50,38,31,4,9,69,69,33,30,H
8,8,49,75,31,35,7,12,57,94,30,44,H
9,7,74,48,38,25,5,10,47,76,20,36,H
16,6,87,60,46,31,5,4,85,60,39,24,H
7,5,66,70,31,36,5,15,46,98,19,44,H
5,4,53,73,27,37,6,7,64,70,30,30,H
9,6,63,50,33,26,7,10,57,82,22,40,H
10,9,80,79,42,34,9,2,75,57,41,26,D
7,15,53,93,29,48,11,5,65,73,33,36,H
4,11,49,80,21,42,6,4,54,75,28,38,H
2,5,67,68,23,37,11,7,47,66,33,31,H
3,12,61,86,20,51,9,7,81,46,40,23,A
9,2,69,59,39,27,7,7,74,47,39,29,H
6,10,57,78,22,40,11,10,82,80,47,38,H
5,17,53,99,23,45,15,6,90,38,62,22,A
6,5,83,52,36,23,7,5,88,57,38,29,A
4,9,61,76,32,35,11,5,64,47,36,24,A
5,8,61,70,28,29,16,5,86,55,45,27,D
7,4,87,60,38,28,4,7,68,61,28,31,H
9,6,81,46,44,24,5,16,51,93,21,42,H
5,6,49,76,24,37,6,4,81,48,29,20,D
13,6,64,70,30,31,3,4,68,65,24,32,D
9,4,51,55,28,26,9,2,68,63,39,31,A
11,9,50,67,31,32,4,8,67,68,34,29,H
14,4,77,59,43,24,2,11,59,79,21,46,D
7,8,76,49,42,31,5,10,49,76,21,40,H
12,13,84,79,48,39,8,17,56,86,28,42,D
15,6,83,36,55,22,9,12,52,85,25,46,H
4,5,67,68,23,34,5,7,53,71,26,33,A
6,15,56,85,26,44,9,7,94,52,50,33,H
9,2,71,60,39,31,13,3,76,55,46,19,H
1,10,51,84,17,51,8,4,52,55,30,27,H
5,8,69,71,31,32,12,13,83,74,48,36,A
3,15,43,100,17,48,11,5,91,63,44,31,A
6,4,79,46,27,20,10,6,84,39,48,20,A
3,9,58,64,31,28,15,7,61,74,29,32,H
9,15,54,93,27,53,13,9,54,52,35,29,H
4,11,46,89,21,47,16,7,90,37,58,25,A
5,7,78,66,30,35,7,7,97,50,47,31,A
4,5,54,61,28,24,15,5,88,39,54,24,D
2,16,46,95,16,48,9,4,71,51,43,16,A
8,12,56,87,30,42,5,6,47,52,25,26,H
4,9,51,90,23,44,11,5,84,64,39,28,A
10,1,64,58,36,29,12,3,77,43,47,19,D
4,8,75,61,31,29,12,8,63,65,27,27,A
6,7,79,47,26,25,10,8,49,48,32,28,H
3,9,42,81,15,48,10,9,77,75,46,35,H
8,16,49,92,26,55,7,7,53,75,25,33,H
11,4,71,49,44,26,5,10,74,68,28,35,H
8,10,60,59,32,30,2,16,37,91,12,50,H
5,6,83,50,40,25,10,13,52,89,32,53,H
